nohup: ignoring input

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2025-12-19 17:17:09 /admin/dashboard ............................. ~ 0.12ms
  2025-12-19 17:17:09 /admin/system-flow ........................... ~ 0.02ms
  2025-12-19 17:17:09 /admin/analytics ............................. ~ 0.02ms
  2025-12-19 17:18:03 /analyze/ .................................... ~ 0.14ms
  2025-12-19 17:18:05 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:18:06 /analyze/ .................................... ~ 0.14ms
  2025-12-19 17:18:07 /analyze/ .................................... ~ 0.08ms
  2025-12-19 17:18:08 /analyze/ .................................... ~ 0.15ms
  2025-12-19 17:18:09 /analyze/ .................................... ~ 0.10ms
  2025-12-19 17:18:10 /analyze/ .................................. ~ 500.71ms
  2025-12-19 17:18:11 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:18:51 /admin/system-flow ........................... ~ 0.13ms
  2025-12-19 17:19:09 /analyze/ .................................... ~ 0.09ms
  2025-12-19 17:19:11 /analyze/ .................................... ~ 0.09ms
  2025-12-19 17:20:07 /admin/analytics ............................. ~ 0.09ms
  2025-12-19 17:20:21 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:20:21 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:20:23 /analyze/ .................................... ~ 0.22ms
  2025-12-19 17:20:24 /analyze/ .................................... ~ 0.16ms
  2025-12-19 17:20:25 /analyze/ .................................... ~ 0.09ms
  2025-12-19 17:20:30 /analyze/ .................................... ~ 0.17ms
  2025-12-19 17:20:32 /analyze/ .................................... ~ 0.15ms
  2025-12-19 17:20:59 /analyze/ .................................... ~ 0.31ms
  2025-12-19 17:21:00 /analyze/ .................................... ~ 0.12ms
  2025-12-19 17:21:01 /analyze/ .................................... ~ 0.08ms
  2025-12-19 17:21:02 /analyze/ .................................... ~ 0.10ms
  2025-12-19 17:22:09 /analyze/ .................................... ~ 0.12ms
  2025-12-19 17:22:11 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:22:12 /analyze/ .................................... ~ 0.18ms
  2025-12-19 17:22:13 /analyze/ .................................... ~ 0.08ms
  2025-12-19 17:22:14 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:22:17 /analyze/ .................................... ~ 0.12ms
  2025-12-19 17:22:18 /analyze/ .................................... ~ 0.10ms
  2025-12-19 17:22:19 /analyze/ .................................... ~ 0.11ms
  2025-12-19 17:22:20 /analyze/ .................................... ~ 0.09ms
  2025-12-19 17:22:21 /analyze/ .................................... ~ 0.11ms
  2025-12-19 17:22:22 /analyze/ .................................... ~ 0.12ms
  2025-12-19 17:22:23 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:22:28 /analyze/ .................................... ~ 0.17ms
  2025-12-19 17:22:31 /analyze/ .................................... ~ 0.11ms
  2025-12-19 17:22:32 /analyze/ .................................... ~ 0.14ms
  2025-12-19 17:22:37 /analyze/ .................................. ~ 500.56ms
  2025-12-19 17:22:38 /analyze/ .................................... ~ 0.16ms
  2025-12-19 17:22:39 /analyze/ .................................... ~ 0.16ms
  2025-12-19 17:22:49 /analyze/ .................................. ~ 500.63ms
  2025-12-19 17:22:53 /analyze/ .................................... ~ 0.11ms
  2025-12-19 17:23:00 /analyst/analytics ........................... ~ 0.17ms
  2025-12-19 17:23:03 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:23:32 /analyze/ .................................... ~ 0.19ms
  2025-12-19 17:23:45 /analyze/ .................................... ~ 0.12ms
  2025-12-19 17:23:48 /analyze/ .................................. ~ 500.49ms
  2025-12-19 17:24:05 /analyze/ .................................... ~ 0.20ms
  2025-12-19 17:24:09 /analyze/ .................................... ~ 0.21ms
  2025-12-19 17:24:16 /analyze/ .................................... ~ 0.22ms
  2025-12-19 17:24:17 /analyze/ .................................... ~ 0.17ms
  2025-12-19 17:24:52 /analyze/ .................................... ~ 0.12ms
